repo_url,repo_name,reason_skipped,current_hash,commits_used,commits_walked,commits_total,rtl_dir,dv_dir,test_cmd
https://github.com/ZipCPU/FtcRobotController,FtcRobotController,fork,,,,23,,,
https://github.com/ultraembedded/core_axi_cache,core_axi_cache,not enough commits (2),,,,2,,,
https://github.com/ultraembedded/core_dbg_bridge,core_dbg_bridge,bad license: LGPL-2.1,,,,5,,,
https://github.com/ZipCPU/icozip,icozip,,,,,91,,,
https://github.com/ultraembedded/core_ddr3_controller,core_ddr3_controller,not enough commits (8),,,,8,,,
https://github.com/ZipCPU/interpolation,interpolation,,,,,21,,,
https://github.com/ultraembedded/core_dvi_framebuffer,core_dvi_framebuffer,not enough commits (5),,,,5,,,
https://github.com/ZipCPU/kimos,kimos,bad license: GPL-3.0,,,,70,,,
https://github.com/ultraembedded/core_enet,core_enet,not enough commits (3),,,,3,,,
https://github.com/ZipCPU/openarty,openarty,,,,,398,,,
https://github.com/ultraembedded/core_ft60x_axi,core_ft60x_axi,bad license: GPL-3.0,,,,4,,,
https://github.com/ZipCPU/OpenRC-Turbo,OpenRC-Turbo,fork,,,,153,,,
https://github.com/ultraembedded/core_ftdi_bridge,core_ftdi_bridge,bad license: GPL-2.0,,,,4,,,
https://github.com/ultraembedded/core_jpeg,core_jpeg,,,,,12,,,
https://github.com/ZipCPU/openz7,openz7,not enough commits (2),,,,2,,,
https://github.com/ZipCPU/qoiimg,qoiimg,bad license: GPL-3.0,,,,20,,,
https://github.com/ultraembedded/core_jpeg_decoder,core_jpeg_decoder,not enough commits (3),,,,3,,,
https://github.com/ZipCPU/qspiflash,qspiflash,,,,,32,,,
https://github.com/ultraembedded/core_mmc,core_mmc,not enough commits (2),,,,2,,,
https://github.com/ZipCPU/robosim,robosim,not enough Verilog/SV (<5%),,,,1,,,
https://github.com/ultraembedded/core_mpx,core_mpx,not enough commits (4),,,,4,,,
https://github.com/ZipCPU/rtcclock,rtcclock,,,,,12,,,
https://github.com/ultraembedded/core_ram_tester,core_ram_tester,not enough commits (3),,,,3,,,
https://github.com/ZipCPU/s6soc,s6soc,,,,,116,,,
https://github.com/ultraembedded/core_sdram_axi4,core_sdram_axi4,bad license: GPL-3.0,,,,4,,,
https://github.com/ultraembedded/core_soc,core_soc,bad license: GPL-2.0,,,,7,,,
https://github.com/ZipCPU/sdr,sdr,,,,,33,,,
https://github.com/ultraembedded/core_spiflash,core_spiflash,bad license: LGPL-2.1,,,,4,,,
https://github.com/pulp-platform/adv_dbg_if,adv_dbg_if,DV in separate repo (no rtl-coupled testbench),,,,53,,,
https://github.com/ZipCPU/sdspi,sdspi,GPL-3.0 in source files,,,,290,,,
https://github.com/ultraembedded/core_ulpi_wrapper,core_ulpi_wrapper,bad license: GPL-3.0,,,,3,,,
https://github.com/pulp-platform/jtag_dpi,jtag_dpi,archived,,,,2,,,
https://github.com/ZipCPU/SymbiYosys,SymbiYosys,fork,,,,165,,,
https://github.com/ultraembedded/core_uriscv,core_uriscv,not enough commits (9),,,,9,,,
https://github.com/pulp-platform/pulpino,pulpino,wrong HDL: primary language is C,,,,801,,,
https://github.com/ZipCPU/tinyzip,tinyzip,,,,,12,,,
